FILE,INFO,MIRROR1,MIRROR2,MIRROR3,MIRROR4,AUTHOR
CM12.1_A940K.zip,CM12.1 for A940K,"<a href=""https://imholic.com:8081/fbsharing/x5r4CqJz"">IMHOLIC</a>",MintServer,,,Non
twrp-3.3.1-0-ef65d.img,TWRP for A940K,"<a href=""https://imholic.com:8081/fbsharing/0iMq9fvg"">IMHOLIC</a>",,,,hiru
IM-A940K_S0848306.zip,Update.zip 5.1,"<a href=""https://drive.google.com/file/d/1A3fh0jZ6C-yYGVCj9jlRDu0PMh9YSdjl/view"">Gdrive</a>",,,,Phmin
IM-A940K_S0848307.zip,Update.zip 5.1,"<a href=""https://drive.google.com/file/d/1iSuEM7TB1MdErS5I5cDvjc4iZ9PbYMcq/view"">Gdrive</a>",,,,Phmin
,Dump 4.4,"<a href=""https://cafe.naver.com/skyplanet/3423"">Pantech Planet (Naver Cafe)</a>",,,,Phmin
,Dump 5.0,"<a href=""https://cafe.naver.com/skyplanet/3422"">Pantech Planet (Naver Cafe)</a>",,,,Phmin
